playlist,transitions,current_track-next_track,current_track,next_track,diff_acousticness,diff_danceability,diff_energy,diff_valence,diff_tempo,diff_instrumentalness,diff_key,diff_mode,diff_liveness,diff_loudness,diff_speechiness,is_good_sequence
low_mood_low_tempo_extr,t1_t2,4vmgP10TH0YYqJkzr8yLW0_14sOS5L36385FJ3OL8hew4,4vmgP10TH0YYqJkzr8yLW0,14sOS5L36385FJ3OL8hew4,0.3637,0.060999999999999936,0.01100000000000001,0.016999999999999904,8.406000000000006,2.07e-05,8.0,0.0,0.1896,4.201999999999997,0.035800000000000005,0
low_mood_low_tempo_extr,t2_t3,14sOS5L36385FJ3OL8hew4_2Fap2zMMINCLylSCSGQLEa,14sOS5L36385FJ3OL8hew4,2Fap2zMMINCLylSCSGQLEa,0.16399999999999998,0.010000000000000007,0.02300000000000002,0.024000000000000132,8.0,0.000147,7.0,0.0,0.128,0.8370000000000024,0.0478,0
low_mood_low_tempo_extr,t3_t4,2Fap2zMMINCLylSCSGQLEa_1ymEwygMMg5JwVAnh3C7yY,2Fap2zMMINCLylSCSGQLEa,1ymEwygMMg5JwVAnh3C7yY,0.106,0.08799999999999998,0.02300000000000002,0.04899999999999999,1.9310000000000118,0.000147,0.0,0.0,0.0391,3.707,0.019,0
low_mood_low_tempo_extr,t4_t5,1ymEwygMMg5JwVAnh3C7yY_60Q0ZSKKBea7otGijFgrQI,1ymEwygMMg5JwVAnh3C7yY,60Q0ZSKKBea7otGijFgrQI,0.16100000000000006,0.05899999999999982,0.02100000000000002,0.04999999999999999,4.979999999999991,0.0,1.0,0.0,0.1051,2.5440000000000014,0.017599999999999998,0
low_mood_low_tempo_extr,t5_t6,60Q0ZSKKBea7otGijFgrQI_7tsHqxfepei1AdLjy93XIv,60Q0ZSKKBea7otGijFgrQI,7tsHqxfepei1AdLjy93XIv,0.19500000000000006,0.07300000000000006,0.02299999999999991,0.05099999999999999,3.9839999999999933,1.45e-06,1.0,0.0,0.079,1.141,0.006000000000000003,0
low_mood_low_tempo_extr,t6_t7,7tsHqxfepei1AdLjy93XIv_1eN1K7YPRButXU7Mq0V58N,7tsHqxfepei1AdLjy93XIv,1eN1K7YPRButXU7Mq0V58N,0.2638,0.18300000000000005,0.04399999999999993,0.031999999999999966,2.8980000000000103,4.305e-05,2.0,1.0,0.0020000000000000018,0.9440000000000016,0.0187,0
low_mood_low_tempo_extr,t7_t8,1eN1K7YPRButXU7Mq0V58N_6uaIMhUZXMuT2Zz0vxrFiR,1eN1K7YPRButXU7Mq0V58N,6uaIMhUZXMuT2Zz0vxrFiR,0.7038,0.251,0.017000000000000015,0.003000000000000003,5.036999999999992,0.0002865,3.0,1.0,0.006999999999999992,3.9659999999999993,0.0183,0
low_mood_low_tempo_extr,t8_t9,6uaIMhUZXMuT2Zz0vxrFiR_56ev0yPeYbMzfrGCfS2KCr,6uaIMhUZXMuT2Zz0vxrFiR,56ev0yPeYbMzfrGCfS2KCr,0.30599999999999994,0.0019999999999998908,0.04699999999999993,0.003999999999999948,4.8559999999999945,0.00031380000000000004,6.0,0.0,0.05000000000000002,0.4890000000000008,0.03,0
low_mood_low_tempo_extr,t9_t10,56ev0yPeYbMzfrGCfS2KCr_7Aw2zBxuyMrrPuxugAcZwr,56ev0yPeYbMzfrGCfS2KCr,7Aw2zBxuyMrrPuxugAcZwr,0.28400000000000003,0.20400000000000007,0.034999999999999976,0.048000000000000036,7.935999999999992,1.7199999999999998e-05,2.0,0.0,0.156,1.3899999999999997,0.0020000000000000018,0
low_mood_high_tempo_extr,t1_t2,2YyvWje3cEYyqgYhNUIaBJ_4SX4NUI58M3KhbalXxjwFC,2YyvWje3cEYyqgYhNUIaBJ,4SX4NUI58M3KhbalXxjwFC,0.127,0.3130000000000001,0.04200000000000004,0.03700000000000003,72.30199999999998,0.0011099999999999999,3.0,1.0,0.1407,0.8080000000000007,0.22430000000000005,0
low_mood_high_tempo_extr,t2_t3,4SX4NUI58M3KhbalXxjwFC_2hnxrRNzF74mdDzpQZQukQ,4SX4NUI58M3KhbalXxjwFC,2hnxrRNzF74mdDzpQZQukQ,0.16799999999999998,0.379,0.012000000000000007,0.06399999999999995,69.35000000000001,0.0,8.0,1.0,0.0737,0.41299999999999937,0.1864,0
low_mood_high_tempo_extr,t3_t4,2hnxrRNzF74mdDzpQZQukQ_5GT8b1dFaOWFF5twsmSOYx,2hnxrRNzF74mdDzpQZQukQ,5GT8b1dFaOWFF5twsmSOYx,0.132,0.16000000000000006,0.017000000000000015,0.07800000000000001,86.14200000000002,0.0,3.0,1.0,0.0727,1.811,0.0523,0
low_mood_high_tempo_extr,t4_t5,5GT8b1dFaOWFF5twsmSOYx_1roCmBlcpV7LzsmB7pmCyt,5GT8b1dFaOWFF5twsmSOYx,1roCmBlcpV7LzsmB7pmCyt,0.358,0.06000000000000005,0.039000000000000035,0.012000000000000007,89.389,7.400000000000001e-06,4.0,0.0,0.050700000000000016,0.2850000000000001,0.0024,0
low_mood_high_tempo_extr,t5_t6,1roCmBlcpV7LzsmB7pmCyt_2CTN6UuO2dNEVZXR0DJVk2,1roCmBlcpV7LzsmB7pmCyt,2CTN6UuO2dNEVZXR0DJVk2,0.6561,0.0010000000000000009,0.040999999999999925,0.064,68.253,6.400000000000001e-05,5.0,0.0,0.037500000000000006,1.2060000000000004,0.0063,0
low_mood_high_tempo_extr,t6_t7,2CTN6UuO2dNEVZXR0DJVk2_708L4ld9wD2pjoqKwaxkXa,2CTN6UuO2dNEVZXR0DJVk2,708L4ld9wD2pjoqKwaxkXa,0.1081,0.20800000000000002,0.02200000000000002,0.057,77.95700000000002,0.1619286,1.0,1.0,0.10649999999999996,1.028999999999999,0.011100000000000002,0
